date,region,product,units_sold,revenue,cost
2024-01-15,North,Widget A,120,14400,8400
2024-01-22,South,Widget B,85,12750,7650
2024-02-03,East,Widget A,200,24000,14000
2024-02-14,West,Widget C,60,10800,7200
2024-03-01,North,Widget B,150,22500,13500
2024-03-18,South,Widget A,95,11400,6650
2024-04-05,East,Widget C,110,19800,13200
2024-04-20,West,Widget A,175,21000,12250
2024-05-12,North,Widget C,80,14400,9600
2024-05-28,South,Widget B,130,19500,11700
2024-06-08,East,Widget A,220,26400,15400
2024-06-25,West,Widget B,90,13500,8100
2024-07-10,North,Widget A,160,19200,11200
2024-07-22,South,Widget C,70,12600,8400
2024-08-03,East,Widget B,140,21000,12600
2024-08-19,West,Widget A,190,22800,13300
2024-09-01,North,Widget B,105,15750,9450
2024-09-15,South,Widget A,88,10560,6160
2024-10-02,East,Widget C,125,22500,15000
2024-10-20,West,Widget B,115,17250,10350
2024-11-05,North,Widget A,180,21600,12600
2024-11-18,South,Widget C,95,17100,11400
2024-12-01,East,Widget B,165,24750,14850
2024-12-15,West,Widget A,210,25200,14700
